fighter_id,fighter_name,height,weight,reach,stance,dob,wins,losses,draws
67,Talita Alencar,61,115,58,Orthodox,"Oct 17, 1990",7,1,1
68,Jim Alers,69,145,71,Orthodox,"Oct 14, 1986",13,3,0
69,John Alessio,70,155,72,Orthodox,"Jul 05, 1979",35,17,0
70,Houston Alexander,72,205,72,Orthodox,"Mar 22, 1972",17,15,1
71,Kenneth Alexander,69,155,0,Orthodox,"Sep 25, 1977",7,6,0
72,Lucas Alexander,71,145,73,Orthodox,"Jul 28, 1995",8,5,0
73,Marcio Alexandre Junior,72,185,75,Southpaw,"May 05, 1989",17,4,0
74,Olaf Alfonso,74,170,0,Orthodox,"Aug 06, 1974",8,12,0
75,Pablo Alfonso,68,145,0,N/A,"May 09, 1983",9,7,0
76,Levi Alford,0,0,0,N/A,"Jan 01, 1900",1,7,0
77,Bill Algeo,72,145,73,Switch,"Jun 09, 1989",18,9,0
78,Royce Alger,70,199,0,Orthodox,"Mar 06, 1965",3,2,0
79,Amir Aliakbari,75,250,0,N/A,"Jun 10, 1984",10,1,0
80,Sultan Aliev,71,170,74,Orthodox,"Sep 17, 1984",15,3,0
81,Nurullo Aliev,70,155,72,Orthodox,"Dec 08, 2000",11,0,0
82,Ikram Aliskerov,72,185,76,Southpaw,"Dec 07, 1992",17,2,0
83,Leon Aliu,72,185,74,Orthodox,"Jul 14, 1989",10,2,0
84,John Allan,73,205,75,Orthodox,"Feb 22, 1993",13,7,0
85,George Allen,74,205,0,Open Stance,"Jan 13, 1967",13,19,2
86,Arnold Allen,68,145,70,Southpaw,"Jan 22, 1994",20,4,0
87,Brendan Allen,74,185,75,Orthodox,"Dec 28, 1995",26,7,0
88,Daniel Allen,72,155,75,Southpaw,"Aug 10, 1992",5,0,0
89,Ben Alloway,71,170,76,Orthodox,"Feb 19, 1981",18,8,0
90,Asu Almabayev,64,125,65,Orthodox,"Jan 25, 1994",23,3,0
91,Bekzat Almakhan,67,135,68,Orthodox,"Oct 08, 1997",12,3,0
92,John Dave Almanza,67,125,67,Southpaw,"Mar 22, 2004",6,1,0
93,Ricardo Almeida,72,170,74,Orthodox,"Nov 29, 1976",13,5,0
94,Magno Almeida,72,155,0,N/A,"Jun 06, 1985",10,3,0
95,Thomas Almeida,67,145,70,Southpaw,"Jul 31, 1991",22,5,0
96,Ericka Almeida,66,115,0,Orthodox,"Mar 05, 1989",7,3,0
97,Estefani Almeida,64,125,0,Orthodox,"Oct 17, 1988",7,3,0
98,Jailton Almeida,75,225,79,Orthodox,"Jun 26, 1991",22,5,0
99,Lucas Almeida,71,145,71,Orthodox,"Jan 31, 1991",15,5,0
100,Cesar Almeida,73,185,74,Orthodox,"Mar 28, 1988",7,2,0
101,Mauricio Alonso,74,170,0,N/A,"Feb 27, 1980",13,7,0
102,Sarah Alpar,64,135,63,Southpaw,"Jun 01, 1991",9,6,0
103,Ali AlQaisi,66,135,68,Orthodox,"Sep 23, 1990",8,5,0
104,Rico Altamirano,70,170,0,N/A,"Jan 01, 1900",4,3,0
105,Victor Altamirano,68,125,70,Switch,"Jan 23, 1991",12,5,0
106,Mike Altman,70,185,0,Orthodox,"Jan 01, 1900",1,4,0
107,Patricia Alujas,64,115,64,Orthodox,"May 08, 1996",9,3,0
108,Sean Alvarez,72,235,0,Orthodox,"Jul 14, 1971",4,3,0
109,Eddie Alvarez,69,155,69,Orthodox,"Jan 11, 1984",29,6,0
110,Jaime Alvarez,68,125,69,Orthodox,"Mar 08, 1988",6,1,0
111,Joel Alvarez,75,155,77,Orthodox,"Mar 02, 1993",23,3,0
112,Thiago Alves,69,170,70,Orthodox,"Oct 03, 1983",23,15,0
113,Anthony Alves,0,0,0,N/A,"Jan 01, 1900",1,4,0
114,Amilcar Alves,72,170,0,Southpaw,"Aug 08, 1988",15,12,0
115,Warlley Alves,71,185,72,Orthodox,"Jan 04, 1991",15,8,0
116,Rafael Alves,68,155,68,Orthodox,"Nov 14, 1990",20,12,0
117,Sam Alvey,74,185,75,Southpaw,"May 06, 1986",33,18,1
118,Christopher Alvidrez,72,170,74,Orthodox,"Dec 27, 1996",7,1,0
119,Mahamed Aly,74,205,78,Orthodox,"Jan 11, 1994",4,1,0
120,Andre Amado,72,154,0,Orthodox,"Oct 09, 1983",6,4,1
121,Adlan Amagov,74,170,76,Orthodox,"Oct 30, 1986",14,2,1
122,Maiara Amanajas dos Santos,65,115,0,Southpaw,"Jul 11, 1987",7,3,0
123,Chris Amarante,0,185,0,N/A,"Jan 01, 1900",2,0,0
124,Jimmy Ambriz,74,315,0,Southpaw,"Jan 26, 1970",17,21,1
125,JJ Ambrose,70,170,0,Orthodox,"Feb 06, 1987",28,7,0
126,Alen Amedovski,70,185,74,Orthodox,"Apr 06, 1988",8,4,0
127,Hyder Amil,69,145,70,Switch,"May 28, 1990",11,2,0
128,Hamid Amiri,0,145,0,N/A,"Jun 15, 2003",9,0,0
129,Makwan Amirkhani,70,145,72,Southpaw,"Nov 08, 1988",17,9,0
130,Jaqueline Amorim,63,115,68,Orthodox,"Jun 24, 1995",10,2,0
131,Yaroslav Amosov,72,170,75,Orthodox,"Sep 09, 1993",29,1,0
132,Bertrand Amoussou,68,190,0,Orthodox,"May 28, 1966",1,1,0
133,Karl Amoussou,71,185,0,Orthodox,"Nov 21, 1985",27,7,2
134,Eryk Anders,73,185,75,Southpaw,"Apr 21, 1987",17,9,0
135,Matt Andersen,74,230,0,Southpaw,"May 29, 1971",14,8,1
136,Andy Anderson,66,240,0,N/A,"Jul 16, 1974",0,1,0
137,Lowell Anderson,66,160,0,Orthodox,"Jan 01, 1900",0,1,0
138,Corey Anderson,75,205,79,Orthodox,"Sep 22, 1989",14,5,0
139,Derek Anderson,72,155,0,N/A,"Feb 02, 1990",14,3,0
140,Megan Anderson,72,145,72,Orthodox,"Feb 11, 1990",11,5,0
141,Liam Anderson,75,185,75,Orthodox,"Jan 13, 1995",6,3,0
142,Tatsuya Ando,64,145,68,Southpaw,"Apr 26, 1990",14,4,1
143,Alex Andrade,71,200,0,Orthodox,"May 14, 1974",10,5,0
144,Jessica Andrade,61,115,62,Orthodox,"Sep 25, 1991",26,15,0
145,Viscardi Andrade,71,170,75,Orthodox,"Mar 08, 1984",19,6,0
146,Jermaine Andre,67,200,0,Orthodox,"Jul 16, 1973",14,4,0
147,Fellipe Andrew,0,0,0,N/A,"Oct 24, 1994",0,0,0
148,Dylan Andrews,73,185,74,Switch,"Nov 15, 1979",18,7,0
149,Reese Andy,72,205,0,Orthodox,"Mar 31, 1973",7,3,0
150,Angga,67,145,68,Orthodox,"Jan 13, 1989",13,3,0
151,Julius Anglickas,75,205,0,Orthodox,"Jul 23, 1991",5,1,0
152,Collin Anglin,69,145,71,Orthodox,"Feb 20, 1993",8,3,0
153,Chad Anheliger,66,135,64,Orthodox,"Dec 01, 1986",13,8,0
154,Yoji Anjo,71,205,0,Orthodox,"Mar 28, 1967",0,5,1
155,Magomed Ankalaev,75,205,75,Orthodox,"Jun 02, 1992",21,2,1
156,Gadzhimurad Antigulov,71,205,70,Orthodox,"Feb 09, 1987",20,8,0
157,Adam Antolin,65,125,63,Orthodox,"Feb 28, 1982",12,3,0
158,Angelo Antonio,0,205,0,Orthodox,"Oct 04, 1998",1,4,0
159,Vanilto Antunes,72,170,72,Orthodox,"Dec 28, 1994",16,7,0
160,Azunna Anyanwu,73,251,0,Orthodox,"Aug 05, 1981",14,5,0
161,Shinsho Anzai,67,170,70,Orthodox,"Dec 01, 1985",10,3,0
162,Jin Aoi,66,145,68,Orthodox,"Jan 21, 1997",14,6,1
163,Shinya Aoki,71,154,0,Southpaw,"May 09, 1983",39,7,0
164,Aoriqileng,67,135,69,Orthodox,"Jun 25, 1993",26,12,0
165,Josh Appelt,70,255,0,Southpaw,"Jun 19, 1983",15,7,0
166,Erik Apple,72,170,0,Orthodox,"Aug 26, 1977",10,3,0
167,Kenji Arai,70,145,0,Southpaw,"Oct 05, 1979",15,15,5
168,Romie Aram,70,170,0,Orthodox,"Dec 02, 1977",7,1,0
169,Felipe Arantes,68,135,73,Orthodox,"Feb 09, 1988",18,10,1
170,Igor Araujo,73,170,77,Orthodox,"Dec 06, 1980",25,9,0
171,Viviane Araujo,64,125,68,Orthodox,"Nov 21, 1986",13,7,0
172,Julio Arce,67,145,70,Southpaw,"Oct 27, 1989",19,6,0
173,Art Arciniega,68,145,0,N/A,"Oct 15, 1981",15,7,0
174,Alice Ardelean,63,115,62,Orthodox,"Apr 19, 1992",11,7,0
175,Tristan Arenal,0,155,0,N/A,"Mar 06, 1985",7,4,0
176,Gabriel Arges,0,170,0,N/A,"Jan 29, 1993",0,0,0
177,Dan Argueta,67,135,68,Southpaw,"Aug 13, 1993",9,3,0
178,Reza Arianto,0,155,0,N/A,"Jan 01, 1900",5,0,0
179,Hashem Arkhagha,74,185,75,Orthodox,"Sep 11, 1989",6,1,0
180,Andrei Arlovski,75,240,77,Orthodox,"Feb 04, 1979",34,24,0
181,Garrett Armfield,66,135,70,Orthodox,"Oct 09, 1996",10,5,0
182,Joey Armstrong,0,0,0,N/A,"Jan 01, 1900",5,2,0
183,Austin Arnett,72,145,72,Orthodox,"Oct 22, 1991",16,6,0
184,Ricardo Arona,71,205,0,Orthodox,"Jul 17, 1978",14,5,0
185,Eli Aronov,70,185,72,Orthodox,"Jun 06, 1996",6,1,0
186,Chalid Arrab,71,205,0,Orthodox,"May 28, 1975",7,3,0
187,Akbarh Arreola,70,155,71,Southpaw,"Jan 14, 1983",23,11,1
188,Matt Arroyo,70,170,72,Orthodox,"Sep 01, 1982",3,3,0
189,Antonio Arroyo,75,185,73,Orthodox,"Jul 01, 1989",9,5,0
190,Gilles Arsene,69,190,0,Southpaw,"Dec 23, 1970",1,1,0
191,Veta Arteaga,67,125,0,N/A,"Jan 01, 1900",3,1,0
192,Cesar Arzamendia,71,155,0,Orthodox,"Jan 31, 1991",8,3,0
193,Kai Asakura,68,125,69,Orthodox,"Oct 31, 1993",21,6,0
194,Teddy Ash,73,185,73,Switch,"Dec 27, 1989",14,5,0
195,Arman Ashimov,66,125,0,N/A,"Jan 14, 1992",11,3,1
196,Yanal Ashmouz,69,155,69,Orthodox,"Mar 31, 1995",8,2,0
197,Asjabharan,66,135,0,N/A,"Jul 31, 1992",7,6,0
198,Askar Askar,67,145,69,Orthodox,"Aug 19, 1994",11,1,0
199,Askar Askarov,66,125,67,Orthodox,"Oct 09, 1992",14,1,1
200,Cyril Asker,72,247,74,Orthodox,"Dec 24, 1985",9,4,0
201,Khusein Askhabov,68,145,69,Orthodox,"Feb 13, 1995",23,1,0
202,Scott Askham,75,185,75,Southpaw,"May 20, 1988",14,4,0
203,Ben Askren,71,170,73,Orthodox,"Jul 18, 1984",19,2,0
204,Ibo Aslan,75,205,77,Orthodox,"Apr 23, 1996",14,4,0
205,Tom Aspinall,77,255,78,Orthodox,"Apr 11, 1993",15,3,0
206,Steven Asplund,77,261,78,Orthodox,"Jul 16, 1998",7,1,0
207,Bruno Assis,74,185,0,Orthodox,"May 23, 1992",8,4,0
208,Junior Assuncao,69,145,72,Orthodox,"Jun 24, 1981",16,6,0
209,Raphael Assuncao,65,135,66,Orthodox,"Jul 19, 1982",28,10,0
210,Michael Aswell Jr.,68,145,69,Orthodox,"Sep 27, 2000",11,3,0
211,Bazigit Atajev,73,230,0,Orthodox,"Mar 12, 1979",17,1,0
212,Rich Attonito,70,170,72,Orthodox,"Jun 16, 1977",10,5,0
213,Olivier Aubin-Mercier,69,155,70,Southpaw,"Feb 23, 1989",11,5,0
214,Pat Audinwood,72,155,0,Orthodox,"Apr 16, 1986",11,2,1
215,Jose Augusto,75,251,0,N/A,"Mar 28, 1992",6,2,0
216,Marcus Aurelio,70,155,74,Orthodox,"Aug 18, 1973",22,10,0
217,David Avellan,69,185,0,Orthodox,"Jul 07, 1981",2,1,0
218,Blas Avena,72,170,74,Orthodox,"Jun 30, 1983",8,7,0
219,Levi Avera,73,170,0,N/A,"May 17, 1982",18,15,0
220,Anthony Avila,67,145,0,N/A,"Dec 29, 1988",13,5,0
221,Chris Avila,70,145,0,Orthodox,"Jan 16, 1993",5,4,0
222,Julia Avila,67,135,68,Orthodox,"May 11, 1988",9,4,0
223,Saad Awad,71,155,0,N/A,"Jun 07, 1983",20,9,0
224,Javy Ayala,73,265,0,N/A,"Aug 20, 1988",10,5,0
225,Jessin Ayari,72,155,73,Orthodox,"May 31, 1992",16,6,0
226,Abu Azaitar,69,185,76,Orthodox,"Mar 10, 1986",14,4,1
227,Ottman Azaitar,68,155,71,Switch,"Feb 20, 1990",13,3,0
228,Luiz Azeredo,69,154,0,Orthodox,"Jun 10, 1976",15,10,0
229,Luciano Azevedo,75,161,0,Orthodox,"Jun 25, 1981",17,9,1
230,Hunter Azure,68,145,69,Orthodox,"Mar 02, 1992",9,2,0
231,Niklas Backstrom,73,145,0,Orthodox,"Aug 22, 1989",11,3,0
232,Seth Baczynski,75,170,75,Orthodox,"Oct 26, 1981",20,14,0
233,Abdul Azeem Badakhshi,0,145,0,N/A,"Jan 01, 1900",13,3,0
234,Ryan Bader,74,205,74,Orthodox,"Jun 07, 1983",23,5,0
235,Izabela Badurek,65,115,0,Orthodox,"Jul 11, 1991",6,3,0
236,Miguel Baeza,74,170,74,Orthodox,"Aug 23, 1992",10,4,0
237,Ali Bagautinov,64,125,65,Orthodox,"Jun 10, 1985",15,6,0
238,Mehdi Baghdad,73,155,0,Orthodox,"Apr 13, 1985",11,5,0
239,Melsik Baghdasaryan,69,145,70,Southpaw,"Jan 28, 1992",8,3,0
240,Siyar Bahadurzada,71,170,73,Orthodox,"Apr 17, 1984",24,8,1
241,Ignacio Bahamondes,75,155,75,Orthodox,"Aug 27, 1997",17,6,0
242,Bahatebole Batebolati,68,170,71,Southpaw,"Sep 12, 1997",10,1,1
243,Shamar Bailey,69,155,75,Southpaw,"Sep 22, 1982",16,11,0
244,Jordan Bailey,69,145,0,N/A,"Jan 01, 1900",6,3,0
245,Scott Baker,72,210,0,N/A,"Jan 01, 1900",1,1,0
246,Bryan Baker,75,185,0,Orthodox,"Oct 13, 1985",18,5,0
247,Jin Bala,69,155,0,N/A,"Jan 01, 1900",23,3,0
248,Balajin,69,145,72,Orthodox,"Mar 31, 1992",23,4,0
249,Oluwale Bamgbose,71,185,78,Switch,"Aug 04, 1987",6,4,0
250,Stephen Banaszak,72,145,0,N/A,"Dec 07, 1990",5,5,0
251,Marcin Bandel,70,155,0,Orthodox,"Oct 10, 1989",15,7,0
252,Humberto Bandenay,71,145,71,Southpaw,"Sep 04, 1994",14,7,0
253,Tae Hyun Bang,69,155,71,Switch,"Apr 15, 1983",18,10,0
254,Yohan Banks,0,0,0,N/A,"Jan 01, 1900",2,1,0
255,Shauna Bannon,65,115,65,Switch,"Oct 23, 1993",7,2,0
256,Antonio Banuelos,65,135,63,Orthodox,"Sep 23, 1979",20,11,1
257,Iwo Baraniewski,72,205,73,Orthodox,"Nov 20, 1998",7,0,0
258,Renan Barao,66,145,70,Orthodox,"Jan 31, 1987",34,9,0
259,Junior Barata,70,170,0,Orthodox,"Jan 25, 1982",9,3,1
260,Maycee Barber,65,125,65,Switch,"May 18, 1998",15,2,0
261,Bryan Barberena,72,185,72,Southpaw,"May 03, 1989",18,12,0
262,Djani Barbir,75,185,79,Orthodox,"Aug 09, 1997",7,1,0
263,Dione Barbosa,66,125,66,Orthodox,"May 08, 1992",8,4,0
264,Marcio Barbosa,66,145,70,Orthodox,"May 22, 1998",17,2,0
265,Edson Barboza,71,155,75,Orthodox,"Jan 21, 1986",24,14,0
266,Raoni Barcelos,67,135,67,Orthodox,"May 01, 1987",21,5,0
267,Daniel Barez,66,125,66,Orthodox,"Dec 10, 1988",17,7,0
268,Danny Barlow,74,185,79,Southpaw,"Aug 02, 1995",9,2,0
269,Luke Barnatt,78,185,77,Orthodox,"Apr 13, 1988",13,4,0
270,James Barnes,68,135,71,Orthodox,"May 28, 1982",14,5,0
271,Nick Barnes,71,170,0,N/A,"Jan 01, 1900",11,2,0
272,Shonte Barnes,71,185,76,Southpaw,"Feb 09, 1987",6,2,1
273,Josh Barnett,75,250,78,Orthodox,"Nov 10, 1977",35,8,0
274,Chris Barnett,69,261,75,Orthodox,"Jun 14, 1986",23,10,0
275,Chris Barnhizer,0,0,0,N/A,"Oct 25, 1987",2,3,0
276,David Baron,66,155,0,Switch,"Feb 15, 1973",17,4,1
277,Phil Baroni,69,170,72,Orthodox,"Apr 16, 1976",15,18,0
278,Dan Barrera,69,170,0,Orthodox,"Dec 23, 1980",3,1,0
279,Carlos Barreto,76,230,0,Orthodox,"Jul 22, 1968",14,9,0
280,Jose Barreto,0,185,0,Southpaw,"Jan 01, 1900",0,1,0
281,Peter Barrett,70,145,73,Southpaw,"Aug 10, 1986",11,5,0
282,Marc-Andre Barriault,73,185,74,Orthodox,"Feb 18, 1990",17,11,0
283,David Barrios,66,145,0,N/A,"Jan 01, 1900",4,8,0
284,Alexandre Barros,69,170,0,Southpaw,"Nov 19, 1976",22,11,0
285,Ricardo Barros,73,205,0,N/A,"Mar 22, 1976",2,2,0
286,Francimar Barroso,73,205,75,Orthodox,"Feb 28, 1980",19,7,0
287,Pat Barry,71,235,74,Orthodox,"Jul 07, 1979",8,7,0
288,Dean Barry,70,170,72,Orthodox,"Jul 03, 1992",4,2,0
289,Enrique Barzola,67,145,70,Orthodox,"Apr 28, 1989",17,5,2
290,Javid Basharat,69,135,69,Orthodox,"Sep 07, 1995",15,2,0
291,Farid Basharat,68,135,71,Orthodox,"Aug 02, 1997",15,0,0
292,Austin Bashi,66,145,70,Orthodox,"Sep 29, 2001",14,1,0
293,Stephen Bass,69,145,0,Orthodox,"Nov 14, 1982",11,2,0
294,Sean Bassett,0,155,0,N/A,"Jan 01, 1900",0,4,0
295,Ryan Bastianelli,65,135,0,N/A,"Sep 07, 1979",6,7,0
296,Shayna Baszler,67,135,0,Orthodox,"Aug 08, 1980",15,11,0
297,Namsrai Batbayar,64,125,68,Orthodox,"Dec 29, 2000",9,1,0
298,Michel Batista,75,260,0,Orthodox,"Apr 20, 1984",4,1,0
299,Bryan Battle,73,185,77,Orthodox,"Sep 21, 1994",13,2,0
300,Alan Baudot,75,243,79,Orthodox,"Feb 01, 1988",8,3,0
301,Mario Bautista,69,135,69,Switch,"Jul 01, 1993",17,3,0
302,Chris Beal,67,125,69,Orthodox,"Aug 06, 1985",10,5,0
303,Donovan Beard,74,185,78,Orthodox,"Nov 05, 1989",7,2,0
304,Rudy Bears,71,170,0,Southpaw,"Jan 19, 1979",16,15,0
305,Salvador Becerra,69,155,0,N/A,"Jan 01, 1900",5,2,0
306,Ariel Beck,66,125,66,Southpaw,"Sep 16, 1990",4,5,0
307,Jack Becker,70,155,71,Orthodox,"Dec 20, 1992",13,6,0
308,Jeff Bedard,66,145,0,Orthodox,"Feb 06, 1970",13,3,0
309,Eric Bedard,74,239,0,N/A,"Sep 11, 1984",6,7,0
310,Johnny Bedford,70,135,71,Orthodox,"Jan 06, 1983",21,13,1
311,Rolando Bedoya,71,155,74,Orthodox,"Jan 13, 1997",14,5,0
312,Chase Beebe,67,135,67,Orthodox,"Mar 29, 1985",24,13,1
313,Lyle Beerbohm,70,155,0,Southpaw,"Feb 05, 1979",24,3,0
314,Allan Begosso,65,135,66,Orthodox,"Nov 23, 1995",7,2,1
315,Azamat Bekoev,72,185,72,Orthodox,"Dec 30, 1995",20,4,0
316,Mirsad Bektic,68,145,70,Orthodox,"Feb 16, 1991",13,4,0
317,Diana Belbita,67,125,68,Orthodox,"Jun 26, 1996",15,10,0
318,Alan Belcher,74,185,75,Orthodox,"Apr 24, 1984",18,8,0
319,Vitor Belfort,72,185,74,Southpaw,"Apr 01, 1977",26,14,0
320,Yousri Belgaroui,78,185,79,Orthodox,"Jun 02, 1992",9,3,0
321,Rodolfo Bellato,75,205,75,Orthodox,"Feb 05, 1996",12,3,1
322,Danilo Belluardo,72,155,74,Southpaw,"Jul 21, 1994",12,5,0
323,Joey Beltran,73,185,75,Orthodox,"Dec 08, 1981",17,14,0
324,Marco Beltran,68,125,69,Orthodox,"May 18, 1986",8,6,0
325,Joseph Benavidez,64,125,65,Southpaw,"Jul 31, 1984",28,8,0
326,Mike Bencic,72,215,0,Orthodox,"Jul 03, 1966",1,2,0
327,Dave Beneteau,74,250,0,Orthodox,"Jan 01, 1900",6,5,1
328,Karla Benitez,63,113,0,N/A,"Feb 15, 1979",14,11,1
329,Gabriel Benitez,68,155,71,Southpaw,"Jun 15, 1988",23,13,0
330,Charles Bennett,68,155,0,Orthodox,"Nov 23, 1979",30,33,2
331,Josh Bennett,76,259,0,Orthodox,"Jan 01, 1900",11,14,0
332,DeAnna Bennett,64,125,68,Orthodox,"Nov 18, 1984",8,3,1
333,Benjamin Bennett,72,170,73,Switch,"May 08, 1994",7,1,0
334,Lance Benoist,71,170,72,Southpaw,"Aug 26, 1988",7,2,0
335,Joe Benoit,69,170,0,Orthodox,"Mar 12, 1982",11,4,0
336,Ryan Benoit,65,125,68,Orthodox,"Aug 25, 1989",10,8,0
337,Pat Benson,69,155,0,N/A,"Jul 14, 1974",3,5,3
338,Len Bentley,69,155,0,N/A,"Nov 30, 1982",10,6,0
339,Steve Berger,71,170,0,Orthodox,"May 20, 1973",21,23,2
340,Kenneth Bergh,74,205,74,Orthodox,"Jun 26, 1989",8,0,0
341,Bret Bergmark,69,170,0,N/A,"Nov 24, 1973",6,1,1
342,Keith Berish,72,205,0,Orthodox,"Nov 14, 1985",5,1,0
343,Dennis Bermudez,66,155,66,Orthodox,"Dec 13, 1986",17,9,0
344,Manny Bermudez,70,145,71,Orthodox,"Jul 16, 1994",14,2,0
345,Talita Bernardo,64,135,68,Orthodox,"Mar 04, 1987",6,4,0
346,Dave Berry,0,0,0,N/A,"Jan 01, 1900",0,1,0
347,Keith Berry,73,185,0,N/A,"Oct 25, 1987",15,14,1
348,Dieusel Berto,69,200,0,N/A,"Jan 01, 1900",0,3,0
349,Edson Berto,66,155,0,Orthodox,"Jul 05, 1983",17,12,1
350,Allen Berube,68,155,0,Orthodox,"Aug 25, 1974",4,3,0
351,Anton Berzin,74,205,0,Orthodox,"Sep 29, 1989",5,1,0
352,Scott Bessac,76,245,0,N/A,"Oct 05, 1965",4,6,0
353,Matt Bessette,70,145,70,Orthodox,"Dec 28, 1984",22,9,0
354,Khadzhi Bestaev,78,185,76,N/A,"Jul 16, 1988",10,4,0
